name_common,name_official,cca3,lat,lng
Turkmenistan,Turkmenistan,TKM,40.0,60.0
North Korea,Democratic People's Republic of Korea,PRK,40.0,127.0
Portugal,Portuguese Republic,PRT,39.5,-8.0
Eritrea,State of Eritrea,ERI,15.0,39.0
Gibraltar,Gibraltar,GIB,36.13333333,-5.35
Mongolia,Mongolia,MNG,46.0,105.0
Kosovo,Republic of Kosovo,UNK,42.666667,21.166667
Anguilla,Anguilla,AIA,18.25,-63.16666666
Malawi,Republic of Malawi,MWI,-13.5,34.0
Tuvalu,Tuvalu,TUV,-8.0,178.0
Moldova,Republic of Moldova,MDA,47.0,29.0
Brunei,"Nation of Brunei, Abode of Peace",BRN,4.5,114.66666666
United States Minor Outlying Islands,United States Minor Outlying Islands,UMI,19.3,166.633333
Finland,Republic of Finland,FIN,64.0,26.0
Ghana,Republic of Ghana,GHA,8.0,-2.0
Dominican Republic,Dominican Republic,DOM,19.0,-70.66666666
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MNP,15.2,145.75
Czechia,Czech Republic,CZE,49.75,15.5
Morocco,Kingdom of Morocco,MAR,32.0,-5.0
Honduras,Republic of Honduras,HND,15.0,-86.5
Israel,State of Israel,ISR,31.47,35.13
Madagascar,Republic of Madagascar,MDG,-20.0,47.0
Luxembourg,Grand Duchy of Luxembourg,LUX,49.75,6.16666666
Armenia,Republic of Armenia,ARM,40.0,45.0
Turks and Caicos Islands,Turks and Caicos Islands,TCA,21.75,-71.58333333
Falkland Islands,Falkland Islands,FLK,-51.75,-59.0
Angola,Republic of Angola,AGO,-12.5,18.5
Cyprus,Republic of Cyprus,CYP,35.0,33.0
Indonesia,Republic of Indonesia,IDN,-5.0,120.0
Uzbekistan,Republic of Uzbekistan,UZB,41.0,64.0
Burundi,Republic of Burundi,BDI,-3.5,30.0
Albania,Republic of Albania,ALB,41.0,20.0
Saint Barthélemy,Collectivity of Saint Barthélemy,BLM,18.5,-63.41666666
Bolivia,Plurinational State of Bolivia,BOL,-17.0,-65.0
Kyrgyzstan,Kyrgyz Republic,KGZ,41.0,75.0
United Arab Emirates,United Arab Emirates,ARE,24.0,54.0
Paraguay,Republic of Paraguay,PRY,-23.0,-58.0
Tanzania,United Republic of Tanzania,TZA,-6.0,35.0
Argentina,Argentine Republic,ARG,-34.0,-64.0
Pakistan,Islamic Republic of Pakistan,PAK,30.0,70.0
Nepal,Federal Democratic Republic of Nepal,NPL,28.0,84.0
New Zealand,New Zealand,NZL,-41.0,174.0
Switzerland,Swiss Confederation,CHE,47.0,8.0
Norfolk Island,Territory of Norfolk Island,NFK,-29.03333333,167.95
Sweden,Kingdom of Sweden,SWE,62.0,15.0
Saint Lucia,Saint Lucia,LCA,13.88333333,-60.96666666
Uruguay,Oriental Republic of Uruguay,URY,-33.0,-56.0
Mexico,United Mexican States,MEX,23.0,-102.0
Somalia,Federal Republic of Somalia,SOM,10.0,49.0
Montserrat,Montserrat,MSR,16.75,-62.2
Norway,Kingdom of Norway,NOR,62.0,10.0
Seychelles,Republic of Seychelles,SYC,-4.58333333,55.66666666
Nauru,Republic of Nauru,NRU,-0.53333333,166.91666666
Bhutan,Kingdom of Bhutan,BTN,27.5,90.5
Rwanda,Republic of Rwanda,RWA,-2.0,30.0
Hungary,Hungary,HUN,47.0,20.0
Slovenia,Republic of Slovenia,SVN,46.11666666,14.81666666
Sint Maarten,Sint Maarten,SXM,18.033333,-63.05
India,Republic of India,IND,20.0,77.0
French Guiana,Guiana,GUF,4.0,-53.0
Italy,Italian Republic,ITA,42.83333333,12.83333333
Singapore,Republic of Singapore,SGP,1.36666666,103.8
Ireland,Republic of Ireland,IRL,53.0,-8.0
Andorra,Principality of Andorra,AND,42.5,1.5
Iceland,Iceland,ISL,65.0,-18.0
Micronesia,Federated States of Micronesia,FSM,6.91666666,158.25
Faroe Islands,Faroe Islands,FRO,62.0,-7.0
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,KNA,17.33333333,-62.75
Niger,Republic of Niger,NER,16.0,8.0
France,French Republic,FRA,46.0,2.0
Djibouti,Republic of Djibouti,DJI,11.5,43.0
Liberia,Republic of Liberia,LBR,6.5,-9.5
Taiwan,Republic of China (Taiwan),TWN,23.5,121.0
Jordan,Hashemite Kingdom of Jordan,JOR,31.0,36.0
Greenland,Greenland,GRL,72.0,-40.0
Libya,State of Libya,LBY,25.0,17.0
Kiribati,Independent and Sovereign Republic of Kiribati,KIR,1.41666666,173.0
Cook Islands,Cook Islands,COK,-21.23333333,-159.76666666
Lesotho,Kingdom of Lesotho,LSO,-29.5,28.5
Monaco,Principality of Monaco,MCO,43.73333333,7.4
Malaysia,Malaysia,MYS,2.5,112.5
Wallis and Futuna,Territory of the Wallis and Futuna Islands,WLF,-13.3,-176.2
Saudi Arabia,Kingdom of Saudi Arabia,SAU,25.0,45.0
Bulgaria,Republic of Bulgaria,BGR,43.0,25.0
Burkina Faso,Burkina Faso,BFA,13.0,-2.0
Brazil,Federative Republic of Brazil,BRA,-10.0,-55.0
Lithuania,Republic of Lithuania,LTU,56.0,24.0
Jersey,Bailiwick of Jersey,JEY,49.25,-2.16666666
Algeria,People's Democratic Republic of Algeria,DZA,28.0,3.0
Solomon Islands,Solomon Islands,SLB,-8.0,159.0
Sri Lanka,Democratic Socialist Republic of Sri Lanka,LKA,7.0,81.0
San Marino,Republic of San Marino,SMR,43.76666666,12.41666666
United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBR,54.0,-2.0
Nigeria,Federal Republic of Nigeria,NGA,10.0,8.0
Slovakia,Slovak Republic,SVK,48.66666666,19.5
Cameroon,Republic of Cameroon,CMR,6.0,12.0
Namibia,Republic of Namibia,NAM,-22.0,17.0
Egypt,Arab Republic of Egypt,EGY,27.0,30.0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,13.25,-61.2
Belarus,Republic of Belarus,BLR,53.0,28.0
Ukraine,Ukraine,UKR,49.0,32.0
Christmas Island,Territory of Christmas Island,CXR,-10.5,105.66666666
Niue,Niue,NIU,-19.03333333,-169.86666666
Jamaica,Jamaica,JAM,18.25,-77.5
Zambia,Republic of Zambia,ZMB,-15.0,30.0
Senegal,Republic of Senegal,SEN,14.0,-14.0
Belgium,Kingdom of Belgium,BEL,50.83333333,4.0
Central African Republic,Central African Republic,CAF,7.0,21.0
Iran,Islamic Republic of Iran,IRN,32.0,53.0
Iraq,Republic of Iraq,IRQ,33.0,44.0
Timor-Leste,Democratic Republic of Timor-Leste,TLS,-8.83333333,125.91666666
Isle of Man,Isle of Man,IMN,54.25,-4.5
Macau,Macao Special Administrative Region of the People's Republic of China,MAC,22.16666666,113.55
El Salvador,Republic of El Salvador,SLV,13.83333333,-88.91666666
Malta,Republic of Malta,MLT,35.9375,14.3754
Poland,Republic of Poland,POL,52.0,20.0
Serbia,Republic of Serbia,SRB,44.0,21.0
Ivory Coast,Republic of Côte d'Ivoire,CIV,8.0,-5.0
Western Sahara,Sahrawi Arab Democratic Republic,ESH,24.5,-13.0
DR Congo,Democratic Republic of the Congo,COD,0.0,25.0
Tajikistan,Republic of Tajikistan,TJK,39.0,71.0
Vanuatu,Republic of Vanuatu,VUT,-16.0,167.0
Tokelau,Tokelau,TKL,-9.0,-172.0
British Virgin Islands,Virgin Islands,VGB,18.431383,-64.62305
